session,matchId,week,home,away,winner,loserBalls,forfeit
fall-2026,fall-2026-w1-1,1,zach,sharlee,zach,5,0
fall-2026,fall-2026-w1-1,1,zach,sharlee,sharlee,2,0
fall-2026,fall-2026-w1-1,1,zach,sharlee,zach,-2,0
fall-2026,fall-2026-w1-1,1,zach,sharlee,zach,4,0
fall-2026,fall-2026-w1-2,1,jay,paul,jay,-1,0
fall-2026,fall-2026-w1-2,1,jay,paul,jay,1,0
fall-2026,fall-2026-w1-2,1,jay,paul,paul,4,0
fall-2026,fall-2026-w1-2,1,jay,paul,jay,2,0
fall-2026,fall-2026-w1-3,1,brendan,chrisco,brendan,3,0
fall-2026,fall-2026-w1-3,1,brendan,chrisco,brendan,3,0
fall-2026,fall-2026-w1-3,1,brendan,chrisco,brendan,4,0
fall-2026,fall-2026-w1-4,1,wiley,lucas,lucas,6,0
fall-2026,fall-2026-w1-4,1,wiley,lucas,wiley,1,0
fall-2026,fall-2026-w1-4,1,wiley,lucas,wiley,2,0
fall-2026,fall-2026-w1-4,1,wiley,lucas,wiley,2,0
fall-2026,fall-2026-w2-1,2,zach,paul,paul,3,0
fall-2026,fall-2026-w2-1,2,zach,paul,zach,3,0
fall-2026,fall-2026-w2-1,2,zach,paul,zach,1,0
fall-2026,fall-2026-w2-1,2,zach,paul,paul,4,0
fall-2026,fall-2026-w2-1,2,zach,paul,paul,-1,0
fall-2026,fall-2026-w1-5,1,ryan,chad,ryan,6,0
fall-2026,fall-2026-w1-5,1,ryan,chad,ryan,1,0
fall-2026,fall-2026-w1-5,1,ryan,chad,ryan,2,0
fall-2026,fall-2026-w1-6,1,jesse,jeff,jesse,0,0
fall-2026,fall-2026-w1-6,1,jesse,jeff,jeff,5,0
fall-2026,fall-2026-w1-6,1,jesse,jeff,jesse,1,0
fall-2026,fall-2026-w1-6,1,jesse,jeff,jeff,5,0
fall-2026,fall-2026-w1-6,1,jesse,jeff,jeff,7,0
