session,week,home,away
fall-2026,1,brendan,chrisco
fall-2026,1,jason,dave
fall-2026,1,jesse,jeff
fall-2026,1,ryan,chad
fall-2026,2,dave,chrisco
fall-2026,2,brendan,jeff
fall-2026,2,jason,chad
fall-2026,2,jesse,ryan
fall-2026,3,dave,chad
fall-2026,3,chrisco,jeff
fall-2026,3,brendan,ryan
fall-2026,3,jason,jesse
fall-2026,4,dave,jeff
fall-2026,4,jesse,chad
fall-2026,4,chrisco,ryan
fall-2026,4,brendan,jason
fall-2026,5,dave,chad
fall-2026,5,jeff,ryan
fall-2026,5,brendan,jesse
fall-2026,5,chrisco,jason
fall-2026,6,dave,ryan
fall-2026,6,chad,jesse
fall-2026,6,jeff,jason
fall-2026,6,chrisco,brendan
fall-2026,7,dave,jesse
fall-2026,7,ryan,jason
fall-2026,7,chad,brendan
fall-2026,7,jeff,chrisco
fall-2026,8,dave,jason
fall-2026,8,jesse,brendan
fall-2026,8,chad,chrisco
fall-2026,8,jeff,ryan
fall-2026,9,dave,brendan
fall-2026,9,jesse,chrisco
fall-2026,9,ryan,jason
fall-2026,9,chad,jeff
fall-2026,10,dave,brendan
fall-2026,10,chrisco,jason
fall-2026,10,jeff,jesse
fall-2026,10,chad,ryan
fall-2026,11,chrisco,dave
fall-2026,11,jeff,brendan
fall-2026,11,chad,jason
fall-2026,11,ryan,jesse
fall-2026,12,jeff,dave
fall-2026,12,chad,chrisco
fall-2026,12,ryan,brendan
fall-2026,12,jesse,jason
fall-2026,1,zach,sharlee
fall-2026,1,jay,paul
fall-2026,1,wiley,lucas
fall-2026,1,josh,thomas
fall-2026,2,zach,paul
fall-2026,2,sharlee,lucas
fall-2026,2,jay,thomas
fall-2026,2,wiley,josh
fall-2026,3,zach,lucas
fall-2026,3,paul,thomas
fall-2026,3,sharlee,josh
fall-2026,3,jay,wiley
fall-2026,4,zach,thomas
fall-2026,4,lucas,josh
fall-2026,4,paul,wiley
fall-2026,4,sharlee,jay
fall-2026,5,zach,josh
fall-2026,5,thomas,wiley
fall-2026,5,lucas,jay
fall-2026,5,paul,sharlee
fall-2026,6,zach,wiley
fall-2026,6,josh,jay
fall-2026,6,thomas,sharlee
fall-2026,6,lucas,paul
fall-2026,7,zach,jay
fall-2026,7,wiley,sharlee
fall-2026,7,josh,paul
fall-2026,7,thomas,lucas
fall-2026,8,sharlee,zach
fall-2026,8,paul,jay
fall-2026,8,lucas,wiley
fall-2026,8,thomas,josh
fall-2026,9,paul,zach
fall-2026,9,lucas,sharlee
fall-2026,9,thomas,jay
fall-2026,9,josh,wiley
fall-2026,10,lucas,zach
fall-2026,10,thomas,paul
fall-2026,10,josh,sharlee
fall-2026,10,wiley,jay
fall-2026,11,thomas,zach
fall-2026,11,josh,lucas
fall-2026,11,wiley,paul
fall-2026,11,jay,sharlee
fall-2026,12,josh,zach
fall-2026,12,wiley,thomas
fall-2026,12,jay,lucas
fall-2026,12,sharlee,paul
